Date,Total_Occupancy
2017-01-04,23
2017-01-05,50
2017-01-06,69
2017-01-07,79
2017-01-08,102
2017-01-09,116
2017-01-10,127
2017-01-11,145
2017-01-12,158
2017-01-13,158
2017-01-14,158
2017-01-15,158
2017-01-16,158
2017-01-17,158
2017-01-18,158
2017-01-19,158
2017-01-20,158
2017-01-21,158
2017-01-22,158
2017-01-23,158
2017-01-24,158
2017-01-25,158
2017-01-26,158
2017-01-27,158
2017-01-28,158
2017-01-29,158
2017-01-30,158
2017-01-31,158
2017-02-01,158
2017-02-02,158
2017-02-03,158
2017-02-04,164
2017-02-05,172
2017-02-06,182
2017-02-07,196
2017-02-08,209
2017-02-09,225
2017-02-10,245
2017-02-11,267
2017-02-12,286
2017-02-13,286
2017-02-14,286
2017-02-15,286
2017-02-16,286
2017-02-17,286
2017-02-18,286
2017-02-19,286
2017-02-20,286
2017-02-21,286
2017-02-22,286
2017-02-23,286
2017-02-24,286
2017-02-25,286
2017-02-26,286
2017-02-27,286
2017-02-28,286
2017-03-01,286
2017-03-02,286
2017-03-03,286
2017-03-04,303
2017-03-05,309
2017-03-06,326
2017-03-07,341
2017-03-08,352
2017-03-09,354
2017-03-10,367
2017-03-11,378
2017-03-12,392
2017-03-13,392
2017-03-14,392
2017-03-15,392
2017-03-16,392
2017-03-17,392
2017-03-18,392
2017-03-19,392
2017-03-20,392
2017-03-21,392
2017-03-22,392
2017-03-23,392
2017-03-24,392
2017-03-25,392
2017-03-26,392
2017-03-27,392
2017-03-28,392
2017-03-29,392
2017-03-30,392
2017-03-31,392
2017-04-01,393
2017-04-02,395
2017-04-03,393
2017-04-04,396
2017-04-05,404
2017-04-06,408
2017-04-07,419
2017-04-08,427
2017-04-09,442
2017-04-10,456
2017-04-11,461
2017-04-12,470
2017-04-13,470
2017-04-14,470
2017-04-15,470
2017-04-16,470
2017-04-17,469
2017-04-18,469
2017-04-19,469
2017-04-20,469
2017-04-21,469
2017-04-22,470
2017-04-23,472
2017-04-24,473
2017-04-25,472
2017-04-26,472
2017-04-27,471
2017-04-28,471
2017-04-29,471
2017-04-30,471
2017-05-01,471
2017-05-02,470
2017-05-03,470
2017-05-04,465
2017-05-05,471
2017-05-06,486
2017-05-07,498
2017-05-08,508
2017-05-09,515
2017-05-10,516
2017-05-11,523
2017-05-12,538
2017-05-13,538
2017-05-14,538
2017-05-15,538
2017-05-16,538
2017-05-17,538
2017-05-18,538
2017-05-19,538
2017-05-20,538
2017-05-21,538
2017-05-22,538
2017-05-23,538
2017-05-24,538
2017-05-25,538
2017-05-26,538
2017-05-27,538
2017-05-28,538
2017-05-29,538
2017-05-30,538
2017-05-31,538
2017-06-01,537
2017-06-02,537
2017-06-03,537
2017-06-04,530
2017-06-05,530
2017-06-06,536
2017-06-07,538
2017-06-08,542
2017-06-09,546
2017-06-10,553
2017-06-11,560
2017-06-12,556
2017-06-13,556
2017-06-14,556
2017-06-15,556
2017-06-16,556
2017-06-17,556
2017-06-18,556
2017-06-19,556
2017-06-20,556
2017-06-21,556
2017-06-22,556
2017-06-23,556
2017-06-24,556
2017-06-25,558
2017-06-26,559
2017-06-27,558
2017-06-28,558
2017-06-29,558
2017-06-30,558
2017-07-01,556
2017-07-02,556
2017-07-03,556
2017-07-04,550
2017-07-05,551
2017-07-06,551
2017-07-07,544
2017-07-08,546
2017-07-09,537
2017-07-10,532
2017-07-11,529
2017-07-12,532
2017-07-13,532
2017-07-14,532
2017-07-15,532
2017-07-16,532
2017-07-17,532
2017-07-18,532
2017-07-19,532
2017-07-20,532
2017-07-21,532
2017-07-22,532
2017-07-23,532
2017-07-24,532
2017-07-25,532
2017-07-26,532
2017-07-27,532
2017-07-28,532
2017-07-29,532
2017-07-30,532
2017-07-31,532
2017-08-01,532
2017-08-02,532
2017-08-03,532
2017-08-04,522
2017-08-05,521
2017-08-06,514
2017-08-07,509
2017-08-08,495
2017-08-09,492
2017-08-10,494
2017-08-11,487
2017-08-12,484
2017-08-13,484
2017-08-14,484
2017-08-15,484
2017-08-16,484
2017-08-17,484
2017-08-18,484
2017-08-19,485
2017-08-20,485
2017-08-21,485
2017-08-22,485
2017-08-23,485
2017-08-24,485
2017-08-25,485
2017-08-26,486
2017-08-27,485
2017-08-28,485
2017-08-29,485
2017-08-30,484
2017-08-31,484
2017-09-01,484
2017-09-02,484
2017-09-03,484
2017-09-04,483
2017-09-05,465
2017-09-06,445
2017-09-07,437
2017-09-08,420
2017-09-09,412
2017-09-10,399
2017-09-11,390
2017-09-12,372
2017-09-13,372
2017-09-14,372
2017-09-15,372
2017-09-16,372
2017-09-17,372
2017-09-18,372
2017-09-19,372
2017-09-20,374
2017-09-21,374
2017-09-22,375
2017-09-23,381
2017-09-24,382
2017-09-25,384
2017-09-26,387
2017-09-27,386
2017-09-28,388
2017-09-29,385
2017-09-30,383
2017-10-01,385
2017-10-02,388
2017-10-03,394
2017-10-04,381
2017-10-05,370
2017-10-06,358
2017-10-07,346
2017-10-08,326
2017-10-09,314
2017-10-10,306
2017-10-11,291
2017-10-12,276
2017-10-13,273
2017-10-14,272
2017-10-15,272
2017-10-16,272
2017-10-17,274
2017-10-18,273
2017-10-19,273
2017-10-20,276
2017-10-21,276
2017-10-22,274
2017-10-23,275
2017-10-24,277
2017-10-25,276
2017-10-26,276
2017-10-27,277
2017-10-28,278
2017-10-29,281
2017-10-30,279
2017-10-31,285
2017-11-01,283
2017-11-02,280
2017-11-03,285
2017-11-04,284
2017-11-05,266
2017-11-06,255
2017-11-07,246
2017-11-08,235
2017-11-09,227
2017-11-10,197
2017-11-11,170
2017-11-12,149
2017-11-13,144
2017-11-14,140
2017-11-15,138
2017-11-16,135
2017-11-17,133
2017-11-18,132
2017-11-19,130
2017-11-20,130
2017-11-21,131
2017-11-22,131
2017-11-23,132
2017-11-24,133
2017-11-25,134
2017-11-26,134
2017-11-27,134
2017-11-28,135
2017-11-29,135
2017-11-30,133
2017-12-01,142
2017-12-02,149
2017-12-03,155
2017-12-04,157
2017-12-05,152
2017-12-06,133
2017-12-07,120
2017-12-08,116
2017-12-09,89
2017-12-10,73
2017-12-11,57
2017-12-12,31
2017-12-13,29
2017-12-14,29
2017-12-15,25
2017-12-16,25
2017-12-17,21
2017-12-18,15
2017-12-19,17
2017-12-20,20
2017-12-21,26
2017-12-22,30
2017-12-23,35
2017-12-24,35
2017-12-25,43
2017-12-26,58
2017-12-27,66
2017-12-28,78
2017-12-29,89
2017-12-30,97
2017-12-31,106
2018-01-01,131
2018-01-02,145
2018-01-03,149
2018-01-04,169
2018-01-05,177
2018-01-06,174
2018-01-07,172
2018-01-08,172
2018-01-09,187
2018-01-10,180
2018-01-11,163
2018-01-12,164
2018-01-13,163
2018-01-14,164
2018-01-15,172
2018-01-16,184
2018-01-17,164
2018-01-18,148
2018-01-19,122
2018-01-20,121
2018-01-21,107
2018-01-22,99
2018-01-23,99
2018-01-24,83
2018-01-25,73
2018-01-26,74
2018-01-27,70
2018-01-28,69
2018-01-29,68
2018-01-30,73
2018-01-31,75
2018-02-01,104
2018-02-02,99
2018-02-03,111
2018-02-04,111
2018-02-05,120
2018-02-06,115
2018-02-07,131
2018-02-08,136
2018-02-09,144
2018-02-10,147
2018-02-11,171
2018-02-12,181
2018-02-13,184
2018-02-14,200
2018-02-15,200
2018-02-16,206
2018-02-17,204
2018-02-18,198
2018-02-19,224
2018-02-20,223
2018-02-21,220
2018-02-22,210
2018-02-23,202
2018-02-24,187
2018-02-25,176
2018-02-26,171
2018-02-27,183
2018-02-28,184
2018-03-01,162
2018-03-02,146
2018-03-03,142
2018-03-04,136
2018-03-05,133
2018-03-06,114
2018-03-07,108
2018-03-08,106
2018-03-09,103
2018-03-10,110
2018-03-11,112
2018-03-12,113
2018-03-13,121
2018-03-14,127
2018-03-15,133
2018-03-16,145
2018-03-17,148
2018-03-18,155
2018-03-19,176
2018-03-20,174
2018-03-21,167
2018-03-22,163
2018-03-23,160
2018-03-24,159
2018-03-25,151
2018-03-26,158
2018-03-27,161
2018-03-28,157
2018-03-29,147
2018-03-30,142
2018-03-31,146
2018-04-01,143
2018-04-02,148
2018-04-03,149
2018-04-04,157
2018-04-05,171
2018-04-06,181
2018-04-07,187
2018-04-08,191
2018-04-09,196
2018-04-10,192
2018-04-11,181
2018-04-12,176
2018-04-13,161
2018-04-14,154
2018-04-15,161
2018-04-16,152
2018-04-17,145
2018-04-18,123
2018-04-19,120
2018-04-20,112
2018-04-21,114
2018-04-22,110
2018-04-23,118
2018-04-24,113
2018-04-25,103
2018-04-26,92
2018-04-27,88
2018-04-28,87
2018-04-29,86
2018-04-30,92
2018-05-01,113
2018-05-02,116
2018-05-03,123
2018-05-04,129
2018-05-05,131
2018-05-06,130
2018-05-07,146
2018-05-08,155
2018-05-09,147
2018-05-10,136
2018-05-11,130
2018-05-12,142
2018-05-13,141
2018-05-14,154
2018-05-15,152
2018-05-16,143
2018-05-17,137
2018-05-18,140
2018-05-19,141
2018-05-20,138
2018-05-21,152
2018-05-22,150
2018-05-23,152
2018-05-24,156
2018-05-25,160
2018-05-26,135
2018-05-27,148
2018-05-28,155
2018-05-29,156
2018-05-30,159
2018-05-31,169
2018-06-01,176
2018-06-02,187
2018-06-03,181
2018-06-04,186
2018-06-05,192
2018-06-06,182
2018-06-07,188
2018-06-08,182
2018-06-09,177
2018-06-10,167
2018-06-11,176
2018-06-12,169
2018-06-13,184
2018-06-14,183
2018-06-15,179
2018-06-16,174
2018-06-17,164
2018-06-18,151
2018-06-19,152
2018-06-20,151
2018-06-21,163
2018-06-22,168
2018-06-23,171
2018-06-24,169
2018-06-25,181
2018-06-26,188
2018-06-27,173
2018-06-28,178
2018-06-29,167
2018-06-30,173
2018-07-01,179
2018-07-02,174
2018-07-03,170
2018-07-04,165
2018-07-05,169
2018-07-06,176
2018-07-07,169
2018-07-08,160
2018-07-09,157
2018-07-10,170
2018-07-11,158
2018-07-12,156
2018-07-13,160
2018-07-14,159
2018-07-15,152
2018-07-16,152
2018-07-17,152
2018-07-18,145
2018-07-19,144
2018-07-20,155
2018-07-21,160
2018-07-22,160
2018-07-23,156
2018-07-24,163
2018-07-25,181
2018-07-26,171
2018-07-27,160
2018-07-28,167
2018-07-29,170
2018-07-30,160
2018-07-31,153
2018-08-01,141
2018-08-02,136
2018-08-03,153
2018-08-04,154
2018-08-05,152
2018-08-06,159
2018-08-07,173
2018-08-08,160
2018-08-09,153
2018-08-10,146
2018-08-11,145
2018-08-12,146
2018-08-13,149
2018-08-14,154
2018-08-15,152
2018-08-16,164
2018-08-17,177
2018-08-18,174
2018-08-19,172
2018-08-20,184
2018-08-21,194
2018-08-22,201
2018-08-23,193
2018-08-24,190
2018-08-25,179
2018-08-26,174
2018-08-27,172
2018-08-28,177
2018-08-29,163
2018-08-30,171
2018-08-31,169
2018-09-01,160
2018-09-02,151
2018-09-03,159
2018-09-04,164
2018-09-05,167
2018-09-06,167
2018-09-07,172
2018-09-08,165
2018-09-09,168
2018-09-10,175
2018-09-11,182
2018-09-12,176
2018-09-13,178
2018-09-14,170
2018-09-15,177
2018-09-16,182
2018-09-17,195
2018-09-18,193
2018-09-19,190
2018-09-20,196
2018-09-21,209
2018-09-22,203
2018-09-23,193
2018-09-24,197
2018-09-25,209
2018-09-26,214
2018-09-27,224
2018-09-28,227
2018-09-29,226
2018-09-30,215
2018-10-01,199
2018-10-02,185
2018-10-03,171
2018-10-04,156
2018-10-05,140
2018-10-06,140
2018-10-07,142
2018-10-08,152
2018-10-09,154
2018-10-10,152
2018-10-11,151
2018-10-12,156
2018-10-13,165
2018-10-14,171
2018-10-15,181
2018-10-16,188
2018-10-17,185
2018-10-18,188
2018-10-19,184
2018-10-20,173
2018-10-21,180
2018-10-22,177
2018-10-23,175
2018-10-24,171
2018-10-25,171
2018-10-26,170
2018-10-27,175
2018-10-28,178
2018-10-29,186
2018-10-30,191
2018-10-31,171
2018-11-01,153
2018-11-02,160
2018-11-03,151
2018-11-04,146
2018-11-05,139
2018-11-06,133
2018-11-07,123
2018-11-08,127
2018-11-09,133
2018-11-10,136
2018-11-11,135
2018-11-12,151
2018-11-13,156
2018-11-14,143
2018-11-15,146
2018-11-16,149
2018-11-17,126
2018-11-18,128
2018-11-19,142
2018-11-20,159
2018-11-21,171
2018-11-22,166
2018-11-23,145
2018-11-24,148
2018-11-25,166
2018-11-26,175
2018-11-27,164
2018-11-28,178
2018-11-29,180
2018-11-30,188
2018-12-01,181
2018-12-02,181
2018-12-03,162
2018-12-04,150
2018-12-05,155
2018-12-06,154
2018-12-07,152
2018-12-08,148
2018-12-09,141
2018-12-10,152
2018-12-11,153
2018-12-12,131
2018-12-13,117
2018-12-14,115
2018-12-15,116
2018-12-16,117
2018-12-17,128
2018-12-18,138
2018-12-19,146
2018-12-20,147
2018-12-21,130
2018-12-22,123
2018-12-23,115
2018-12-24,116
2018-12-25,115
2018-12-26,122
2018-12-27,116
2018-12-28,112
2018-12-29,119
2018-12-30,121
2018-12-31,121
2019-01-01,120
2019-01-02,127
2019-01-03,141
2019-01-04,147
2019-01-05,147
2019-01-06,146
2019-01-07,143
2019-01-08,155
2019-01-09,134
2019-01-10,139
2019-01-11,131
2019-01-12,115
2019-01-13,112
2019-01-14,125
2019-01-15,138
2019-01-16,133
2019-01-17,131
2019-01-18,135
2019-01-19,144
2019-01-20,140
2019-01-21,131
2019-01-22,130
2019-01-23,139
2019-01-24,151
2019-01-25,168
2019-01-26,162
2019-01-27,158
2019-01-28,157
2019-01-29,169
2019-01-30,162
2019-01-31,169
2019-02-01,173
2019-02-02,169
2019-02-03,159
2019-02-04,167
2019-02-05,163
2019-02-06,171
2019-02-07,163
2019-02-08,158
2019-02-09,147
2019-02-10,136
2019-02-11,139
2019-02-12,139
2019-02-13,133
2019-02-14,137
2019-02-15,137
2019-02-16,131
2019-02-17,135
2019-02-18,147
2019-02-19,152
2019-02-20,153
2019-02-21,160
2019-02-22,167
2019-02-23,156
2019-02-24,144
2019-02-25,141
2019-02-26,148
2019-02-27,150
2019-02-28,147
2019-03-01,146
2019-03-02,153
2019-03-03,156
2019-03-04,157
2019-03-05,171
2019-03-06,155
2019-03-07,161
2019-03-08,155
2019-03-09,142
2019-03-10,142
2019-03-11,145
2019-03-12,137
2019-03-13,133
2019-03-14,129
2019-03-15,129
2019-03-16,135
2019-03-17,140
2019-03-18,155
2019-03-19,165
2019-03-20,152
2019-03-21,159
2019-03-22,147
2019-03-23,140
2019-03-24,148
2019-03-25,138
2019-03-26,142
2019-03-27,135
2019-03-28,153
2019-03-29,151
2019-03-30,127
2019-03-31,105
2019-04-01,81
2019-04-02,53
2019-04-03,35
2019-04-04,26
2019-04-05,26
2019-04-06,25
2019-04-07,23
2019-04-08,15
2019-04-09,12
2019-04-10,9
2019-04-11,9
2019-04-12,9
2019-04-13,9
2019-04-14,9
2019-04-15,9
2019-04-16,9
2019-04-17,9
2019-04-18,9
2019-04-19,9
2019-04-20,9
2019-04-21,9
2019-04-22,9
2019-04-23,8
2019-04-24,8
2019-04-25,8
2019-04-26,8
2019-04-27,8
2019-04-28,8
2019-04-29,8
2019-04-30,8
2019-05-01,9
2019-05-02,10
2019-05-03,11
2019-05-04,11
2019-05-05,11
2019-05-06,11
2019-05-07,11
2019-05-08,11
2019-05-09,11
2019-05-10,11
2019-05-11,11
2019-05-12,11
2019-05-13,11
2019-05-14,11
2019-05-15,11
2019-05-16,11
2019-05-17,11
2019-05-18,11
2019-05-19,11
2019-05-20,11
2019-05-21,11
2019-05-22,11
2019-05-23,11
2019-05-24,11
2019-05-25,11
2019-05-26,11
2019-05-27,11
2019-05-28,11
2019-05-29,11
2019-05-30,11
2019-05-31,11
2019-06-01,11
2019-06-02,10
2019-06-03,12
2019-06-04,12
2019-06-05,12
2019-06-06,12
2019-06-07,12
2019-06-08,12
2019-06-09,12
2019-06-10,12
2019-06-11,12
2019-06-12,12
2019-06-13,12
2019-06-14,12
2019-06-15,12
2019-06-16,12
2019-06-17,12
2019-06-18,12
2019-06-19,12
2019-06-20,12
2019-06-21,12
2019-06-22,12
2019-06-23,12
2019-06-24,12
2019-06-25,12
2019-06-26,12
2019-06-27,12
2019-06-28,12
2019-06-29,12
2019-06-30,12
2019-07-01,11
2019-07-02,12
2019-07-03,11
2019-07-04,11
2019-07-05,11
2019-07-06,11
2019-07-07,11
